,Close,RSI,BBBuy,BBSell,MACDLine,MACDSignal,SMA5,SMA15,SMA30,SMA40,SMA100,Decision
649,7.606,88.3339101,5.389206005,7.126050464,0.171542913,0.095044393,7.3276,6.952666667,6.893866667,6.885,6.31278,Yes
650,7.59,86.22250259,5.390585889,7.184029707,0.196025786,0.115240672,7.438,7.0008,6.9228,6.9063,6.33164,Yes
651,7.504,74.98332437,5.392099174,7.226866675,0.206113213,0.13341518,7.4988,7.052,6.947533333,6.9248,6.3504,Yes
652,7.502,74.71906906,5.398832115,7.264396698,0.211508055,0.149033755,7.5196,7.1036,6.968266667,6.93925,6.36954,Yes
653,7.66,80.91735364,5.401423389,7.313853341,0.225928423,0.164412689,7.5724,7.1672,6.993,6.96125,6.38904,Yes
654,7.548,67.27629067,5.413511403,7.349442166,0.225717277,0.176673606,7.5608,7.2316,7.013866667,6.9814,6.40582,Yes
655,7.626,71.21852919,5.421990032,7.390595424,0.229201794,0.187179244,7.568,7.296533333,7.038533333,7.00255,6.42734,Yes
656,7.834,79.06492763,5.43325116,7.449769691,0.245912436,0.198925882,7.634,7.3668,7.073,7.02755,6.45008,Yes
657,7.896,80.87781199,5.444454764,7.509862666,0.261148267,0.211370359,7.7128,7.438533333,7.107666667,7.0521,6.47248,Yes
658,7.848,75.0108151,5.460691615,7.561928207,0.266280063,0.2223523,7.7504,7.503333333,7.145333333,7.0719,6.492,Yes
659,7.684,58.18587778,5.491413529,7.597221654,0.254183549,0.22871855,7.7776,7.555333333,7.176866667,7.0877,6.50806,Yes
660,7.578,49.76823293,5.530570994,7.622279777,0.233353704,0.229645581,7.768,7.591333333,7.208,7.1091,6.51876,Yes
661,7.69,57.3704862,5.560870451,7.653456277,0.223309197,0.228378304,7.7392,7.624,7.238533333,7.1323,6.53298,Yes
662,7.654,54.28935745,5.585988762,7.678188013,0.21002294,0.224707231,7.6908,7.641066667,7.257933333,7.15165,6.54742,Yes
663,7.408,38.01363925,5.625797862,7.690267412,0.177596123,0.215285009,7.6028,7.641866667,7.273066667,7.1639,6.5597,Yes
664,7.856,62.1333482,5.661623911,7.728890728,0.185904502,0.209408908,7.6372,7.658533333,7.3056,7.18725,6.57822,Yes
665,7.708,54.0303751,5.702667662,7.754795252,0.178489078,0.203224942,7.6632,7.6664,7.3336,7.2078,6.59398,Yes
666,7.032,31.87733251,5.745762192,7.753876197,0.116719284,0.18592381,7.5316,7.634933333,7.343466667,7.2136,6.60898,Yes
667,7.222,39.95073805,5.803614146,7.754939657,0.082150706,0.16516919,7.4452,7.616266667,7.359933333,7.22275,6.62612,Yes
668,6.876,31.91494844,5.861264593,7.752316916,0.026529733,0.137441298,7.3388,7.564,7.3656,7.2267,6.6379,Yes
669,6.886,32.37360822,5.924003503,7.745391097,-0.016552565,0.106642526,7.1448,7.519866667,7.375733333,7.2304,6.6482,Yes
670,7.02,38.81708999,5.979742782,7.73907682,-0.03942841,0.077428339,7.0072,7.479466667,7.388,7.2398,6.66008,Yes
671,6.966,37.15279014,6.021666143,7.736004759,-0.061209446,0.049700782,6.994,7.4216,7.3942,7.2446,6.67014,Yes
672,6.93,35.95381786,6.06951806,7.734035645,-0.080448612,0.023670903,6.9356,7.3572,7.397866667,7.24105,6.68084,Yes
673,7.116,46.38354685,6.089751527,7.732234121,-0.079767633,0.002983196,6.9836,7.3084,7.405866667,7.2451,6.6932,Yes
674,7.33,56.00118396,6.113696801,7.733292244,-0.061253844,-0.009864212,7.0724,7.2848,7.420066667,7.25635,6.70872,Yes
675,7.538,63.43813607,6.13214445,7.742396976,-0.029458096,-0.013782989,7.176,7.282133333,7.436733333,7.2731,6.7256,Yes
676,7.646,66.83402852,6.151828312,7.756232412,0.004404191,-0.010145553,7.312,7.2792,7.4516,7.29585,6.74532,Yes
677,7.694,68.35792286,6.183274652,7.768983141,0.034713343,-0.001173774,7.4648,7.281866667,7.461466667,7.32,6.76546,Yes
678,7.82,72.26117251,6.204071864,7.789460861,0.068115518,0.012684085,7.6056,7.309333333,7.4756,7.34785,6.78702,Yes
679,7.824,72.38732796,6.220543581,7.802139458,0.093828156,0.028912899,7.7044,7.3072,7.482866667,7.3789,6.80998,Yes
