,Closing,RSI,MACD,BB,SMA1,SMA2,Decision
314,6.994,Sell,Buy,Hold,Buy,Buy,Yes
315,6.9,Hold,Buy,Hold,Buy,Buy,Yes
316,6.843999999999999,Hold,Buy,Hold,Buy,Buy,Yes
317,6.906000000000001,Hold,Buy,Hold,Buy,Buy,Yes
318,6.75,Hold,Buy,Hold,Buy,Buy,Yes
319,6.724,Hold,Buy,Sell,Buy,Buy,Yes
320,6.7620000000000005,Hold,Sell,Hold,Buy,Buy,Yes
321,6.682,Hold,Sell,Sell,Buy,Buy,Yes
322,6.882000000000001,Hold,Sell,Hold,Buy,Buy,Yes
323,6.808,Hold,Sell,Sell,Buy,Buy,Yes
324,6.754,Hold,Sell,Sell,Buy,Buy,Yes
325,6.622000000000001,Hold,Sell,Sell,Buy,Buy,Yes
326,6.624,Hold,Sell,Sell,Buy,Buy,Yes
327,6.614,Hold,Sell,Sell,Buy,Buy,Yes
328,6.9479999999999995,Hold,Sell,Hold,Buy,Buy,Yes
329,7.202000000000001,Sell,Sell,Hold,Buy,Buy,Yes
330,7.218,Sell,Buy,Hold,Buy,Buy,Yes
331,7.058,Hold,Buy,Hold,Buy,Buy,Yes
332,7.0,Hold,Sell,Hold,Buy,Buy,Yes
333,7.064,Hold,Sell,Hold,Buy,Buy,Yes
334,6.996,Hold,Sell,Sell,Buy,Buy,Yes
335,6.992000000000001,Hold,Sell,Sell,Buy,Buy,Yes
336,7.03,Hold,Sell,Sell,Buy,Buy,Yes
337,6.88,Hold,Sell,Sell,Buy,Buy,Yes
338,6.816,Hold,Sell,Sell,Buy,Buy,Yes
339,7.48,Hold,Sell,Hold,Buy,Buy,Yes
340,7.587999999999999,Sell,Buy,Hold,Buy,Buy,Yes
341,7.57,Hold,Buy,Hold,Buy,Buy,No
342,7.466,Hold,Buy,Hold,Buy,Buy,No
343,7.4479999999999995,Hold,Buy,Hold,Buy,Buy,No
344,7.316,Hold,Buy,Hold,Buy,Buy,No
345,7.602,Hold,Buy,Hold,Buy,Buy,No
